Province/State,Country,Date last updated,Confirmed,Suspected,Recovered,Deaths
Unknown,Japan,2020-01-26 11:00:00,4.0,0.0,1.0,0.0
Unknown,Thailand,2020-01-26 11:00:00,8.0,0.0,2.0,0.0
Unknown,South Korea,2020-01-26 11:00:00,3.0,0.0,0.0,0.0
Unknown,Singapore,2020-01-26 11:00:00,4.0,0.0,0.0,0.0
Unknown,Vietnam,2020-01-26 11:00:00,2.0,0.0,0.0,0.0
Unknown,France,2020-01-26 11:00:00,3.0,0.0,0.0,0.0
Unknown,Australia,2020-01-26 11:00:00,4.0,0.0,0.0,0.0
Unknown,Nepal,2020-01-26 11:00:00,1.0,0.0,0.0,0.0
Unknown,Malaysia,2020-01-26 11:00:00,4.0,0.0,0.0,0.0
Ontario,Canada,2020-01-26 11:00:00,1.0,0.0,0.0,0.0
